"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/getTrackDetails.js", "JavaScript", 37, 0, 0, 0, 1, 6, 44
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/newPlayer.js", "JavaScript", 41, 0, 0, 0, 8, 8, 57
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/playback.js", "JavaScript", 41, 0, 0, 0, 1, 7, 49
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/progressBar.js", "JavaScript", 44, 0, 0, 0, 6, 10, 60
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/setCurrentState.js", "JavaScript", 19, 0, 0, 0, 0, 5, 24
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/setPlayerControls.js", "JavaScript", 17, 0, 0, 0, 0, 2, 19
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/setQueue.js", "JavaScript", 29, 0, 0, 0, 0, 3, 32
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/player/sockets.js", "JavaScript", 18, 0, 0, 0, 5, 8, 31
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/script.js", "JavaScript", 53, 0, 0, 0, 4, 10, 67
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/setData.js", "JavaScript", 46, 0, 0, 0, 0, 10, 56
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/scripts/setGraphs.js", "JavaScript", 76, 0, 0, 0, 2, 1, 79
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/stats.css", "CSS", 0, 81, 0, 0, 0, 13, 94
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/style.css", "CSS", 0, 58, 0, 0, 0, 12, 70
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/spotifyLink_old/theams.css", "CSS", 0, 30, 0, 0, 1, 6, 37
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/home-style/lines.css", "CSS", 0, 78, 0, 0, 0, 12, 90
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/home-style/script.js", "JavaScript", 107, 0, 0, 0, 0, 10, 117
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/home-style/style-local.css", "CSS", 0, 43, 0, 0, 0, 3, 46
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/index.html", "HTML", 0, 0, 24, 0, 0, 2, 26
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/line/index.html", "HTML", 0, 0, 33, 0, 0, 7, 40
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/line/script.js", "JavaScript", 50, 0, 0, 0, 2, 7, 59
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/line/setStatus.js", "JavaScript", 51, 0, 0, 0, 0, 2, 53
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/line/style.css", "CSS", 0, 67, 0, 0, 6, 11, 84
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/services/tubeTime/style.css", "CSS", 0, 138, 0, 0, 1, 26, 165
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/privalaged/setBg.js", "JavaScript", 15, 0, 0, 0, 0, 2, 17
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/signUp/index.html", "HTML", 0, 0, 68, 0, 0, 9, 77
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/signUp/mobile.css", "CSS", 0, 36, 0, 0, 0, 5, 41
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/signUp/script.js", "JavaScript", 33, 0, 0, 0, 1, 2, 36
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/signUp/style.css", "CSS", 0, 166, 0, 0, 0, 30, 196
"/Users/kamrantailor/Documents/Programing/pumpkinPie/public/src/icons/Spotify Link.html", "HTML", 0, 0, 241, 0, 3, 15, 259
